indices,season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
223,2010,9,1260,37.0,1.79,75.0,413.0,45.0,144.0,1.0,29,True,False,False,730.0,56.0
224,2010,9,259,52.0,1.78,68.0,33.0,0.0,33.0,0.0,40,False,False,False,42.0,0.0
225,2010,9,734,45.0,1.77,83.0,401.0,43.0,265.0,41.0,52,False,True,True,234.0,0.0
226,2010,9,1150,41.0,1.83,71.0,376.0,23.0,297.0,23.0,43,True,False,True,433.0,20.0
227,2010,9,330,42.0,1.94,81.0,344.0,2.0,211.0,0.0,46,True,False,False,484.0,15.0
228,2010,9,1142,49.0,1.79,68.0,81.0,0.0,30.0,0.0,42,False,False,False,128.0,0.0
229,2010,9,1592,42.0,1.9,75.0,106.0,10.0,53.0,0.0,46,False,True,False,285.0,4.0
230,2010,9,1203,42.0,1.79,71.0,172.0,5.0,143.0,5.0,57,False,True,True,109.0,3.0
231,2010,9,1225,46.0,1.8,71.0,285.0,56.0,226.0,54.0,48,True,False,True,12.0,0.0
232,2010,9,19,37.0,1.92,83.0,154.0,1.0,154.0,1.0,39,True,False,False,72.0,0.0
233,2010,9,1191,38.0,1.73,62.0,150.0,23.0,56.0,8.0,45,True,True,False,228.0,0.0
234,2010,9,172,37.0,1.78,66.0,199.0,34.0,142.0,34.0,43,False,True,True,59.0,0.0
235,2010,9,1364,40.0,1.76,63.0,75.0,0.0,50.0,0.0,47,True,False,True,103.0,0.0
236,2010,9,1625,34.0,1.8,67.0,89.0,1.0,62.0,1.0,36,False,False,False,21.0,0.0
237,2010,9,897,43.0,1.77,64.0,35.0,0.0,10.0,0.0,51,False,True,False,83.0,0.0
238,2010,9,871,41.0,1.85,78.0,108.0,2.0,79.0,2.0,36,False,True,False,52.0,0.0
239,2010,9,562,38.0,1.75,69.0,58.0,4.0,22.0,0.0,16,False,False,False,88.0,16.0
240,2010,9,1554,39.0,1.75,62.0,75.0,0.0,75.0,0.0,63,False,False,True,35.0,0.0
241,2010,9,1082,41.0,1.88,78.0,37.0,0.0,29.0,0.0,43,False,False,False,54.0,0.0
242,2010,9,937,37.0,1.9,,83.0,0.0,8.0,0.0,29,False,False,False,40.0,0.0
243,2010,9,1446,40.0,1.79,71.0,16.0,0.0,16.0,0.0,26,False,False,False,51.0,0.0
244,2010,9,1603,36.0,1.85,75.0,35.0,0.0,10.0,0.0,49,False,True,True,78.0,0.0
245,2010,9,329,38.0,1.89,74.0,9.0,0.0,9.0,0.0,36,False,False,False,6.0,0.0
246,2010,9,767,35.0,,,3.0,0.0,3.0,0.0,25,False,False,False,5.0,0.0
247,2010,10,1397,41.0,1.78,75.0,1683.0,455.0,1001.0,322.0,50,False,True,False,1634.0,202.0
248,2010,10,381,38.0,1.81,74.0,582.0,11.0,187.0,3.0,50,False,True,False,573.0,26.0
249,2010,10,291,42.0,1.73,59.0,283.0,10.0,142.0,10.0,47,True,False,True,696.0,81.0
250,2010,10,1565,38.0,1.84,78.0,590.0,69.0,221.0,55.0,42,True,False,False,522.0,44.0
251,2010,10,1475,37.0,1.77,67.0,286.0,7.0,124.0,7.0,55,False,True,True,292.0,0.0
252,2010,10,223,40.0,1.85,69.0,876.0,139.0,384.0,133.0,36,True,False,False,474.0,0.0
253,2010,10,743,48.0,1.82,68.0,113.0,2.0,32.0,0.0,45,True,False,False,10.0,0.0
254,2010,10,719,46.0,1.72,62.0,339.0,83.0,266.0,83.0,38,False,True,False,100.0,20.0
