season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
2010,Liquigas - Doimo,PELLIZOTTI Franco,45,1.75,64,58.0,32.0,58.0,32.0,16,False,False,False,354.0,12.0
2010,Liquigas - Doimo,FINETTO Mauro,38,1.77,62,271.0,23.0,97.0,21.0,42,False,True,False,287.0,4.0
2010,Liquigas - Doimo,QUINZIATO Manuel,44,1.85,74,122.0,1.0,52.0,1.0,51,True,False,False,264.0,0.0
2010,Liquigas - Doimo,SZMYD Sylwester,45,1.79,60,281.0,48.0,159.0,6.0,46,True,False,True,386.0,0.0
2010,Liquigas - Doimo,OSS Daniel,36,1.91,75,440.0,46.0,221.0,46.0,49,True,False,False,82.0,0.0
2010,Liquigas - Doimo,CHICCHI Francesco,42,1.76,76,275.0,27.0,161.0,20.0,49,False,False,False,179.0,0.0
2010,Liquigas - Doimo,KIŠERLOVSKI Robert,37,1.8,72,398.0,118.0,345.0,118.0,51,False,False,True,133.0,0.0
2010,Liquigas - Doimo,PATERSKI Maciej,37,1.86,73,102.0,4.0,5.0,0.0,25,False,True,False,35.0,0.0
2010,Liquigas - Doimo,CIMOLAI Davide,34,1.82,70,117.0,7.0,51.0,7.0,52,False,False,False,45.0,0.0
2010,Liquigas - Doimo,BODNAR Maciej,38,1.86,77,170.0,0.0,90.0,0.0,39,False,False,True,83.0,0.0
2010,Liquigas - Doimo,ZAUGG Oliver,42,1.67,58,234.0,1.0,75.0,1.0,31,False,True,False,211.0,0.0
2010,Liquigas - Doimo,SANTAROMITA Ivan,39,1.76,58,282.0,25.0,187.0,25.0,57,False,True,False,109.0,40.0
2010,Liquigas - Doimo,KUSCHYNSKI Aleksandr,44,1.82,65,146.0,0.0,108.0,0.0,27,True,False,False,263.0,0.0
